date,precipitation,temp_max,temp_min,wind,weather_fog,weather_rain,weather_snow,weather_sun
2012-01-01,-0.4536498564010315,12.8,5.0,1.0149797489499173,0,0,0,0
2012-01-02,1.1785979064098107,10.6,2.8,0.8758331398464331,0,1,0,0
2012-01-03,-0.3338518554607862,11.7,7.2,-0.654779560291891,0,1,0,0
2012-01-04,2.586224417457693,12.2,5.6,1.0149797489499173,0,1,0,0
2012-01-05,-0.2589781048731329,8.9,2.8,1.9890060126743048,0,1,0,0
2012-01-06,-0.07928110346276497,4.4,2.2,-0.7243528648436327,0,1,0,0
2012-01-07,-0.4536498564010315,7.2,2.8,-0.654779560291891,0,1,0,0
2012-01-08,-0.4536498564010315,10.0,2.8,-0.8634994739471168,0,0,0,1
2012-01-09,0.19026439865278688,9.4,5.0,0.11052678977727104,0,1,0,0
2012-01-10,-0.3039023552257249,6.1,0.6,0.11052678977727104,0,1,0,0
2012-01-11,-0.4536498564010315,6.1,-1.1,1.2932729671568848,0,0,0,1
2012-01-12,-0.4536498564010315,6.1,-1.7,-0.933072778498859,0,0,0,1
2012-01-13,-0.4536498564010315,5.0,-2.8,-1.3505126058093109,0,0,0,1
2012-01-14,0.16031489841772553,4.4,0.6,1.4324195762603689,0,0,1,0
2012-01-15,0.3400118998280935,1.1,-3.3,-0.02861981932621277,0,0,1,0
2012-01-16,-0.07928110346276497,1.7,-2.8,1.223699662605143,0,0,1,0
2012-01-17,0.7593049031189519,3.3,0.0,1.6411394899155947,0,0,1,0
2012-01-18,2.51135066687004,0.0,-2.8,1.223699662605143,0,0,1,0
2012-01-19,1.8225121614636288,-1.1,-2.8,-1.1417926921540849,0,0,1,0
2012-01-20,1.5679414094656077,7.2,-1.1,-0.654779560291891,0,0,1,0
2012-01-21,-0.004407352875111673,8.3,3.3,3.4500454082608862,0,1,0,0
2012-01-22,0.4598099007683388,6.7,2.2,1.084553053501659,0,1,0,0
2012-01-23,-0.4536498564010315,8.3,1.1,0.24967339888075515,0,1,0,0
2012-01-24,0.8341786537066053,10.0,2.2,1.2932729671568848,0,1,0,0
2012-01-25,0.7593049031189519,8.9,4.4,1.5019928808121112,0,1,0,0
2012-01-26,0.2651381492404402,8.9,1.1,1.084553053501659,0,1,0,0
2012-01-27,-0.4536498564010315,6.7,-2.2,-1.280939301257569,0,0,0,0
2012-01-28,-0.4536498564010315,6.7,0.6,-0.7243528648436327,0,1,0,0
2012-01-29,3.6943559261549614,9.4,3.9,0.8758331398464331,0,1,0,0
2012-01-30,0.0854411478300723,8.3,6.1,1.2932729671568848,0,1,0,0
2012-01-31,-0.18410435428547958,9.4,6.1,0.45839331253598103,0,1,0,0
2012-02-01,1.5679414094656077,8.9,3.3,-0.37648634208492276,0,1,0,0
2012-02-02,-0.4536498564010315,8.3,1.7,-0.4460596466366648,0,0,0,1
2012-02-03,-0.4536498564010315,14.4,2.2,1.4324195762603689,0,0,0,1
2012-02-04,-0.4536498564010315,15.6,5.0,0.736686530742949,0,0,0,1
2012-02-05,-0.4536498564010315,13.9,1.7,-0.23733973298143896,0,0,0,1
2012-02-06,-0.4536498564010315,16.1,1.7,1.223699662605143,0,0,0,1
2012-02-07,-0.40872560604843955,15.6,7.8,1.4324195762603689,0,1,0,0
2012-02-08,-0.03435685311017302,10.0,5.0,-0.37648634208492276,0,1,0,0
2012-02-09,-0.07928110346276497,11.1,7.8,-0.585206255740149,0,1,0,0
2012-02-10,-0.07928110346276497,12.8,6.7,-0.16776642842969688,0,1,0,0
2012-02-11,-0.3338518554607862,8.9,5.6,0.11052678977727104,0,1,0,0
2012-02-12,-0.3039023552257249,8.3,5.0,-1.3505126058093109,0,1,0,0
2012-02-13,1.2534716569974638,7.2,4.4,-1.280939301257569,0,1,0,0
2012-02-14,-0.07928110346276497,6.7,1.1,-0.09819312387795483,0,1,0,0
2012-02-15,-0.4536498564010315,7.2,0.6,-1.0026460830506008,0,0,0,0
2012-02-16,-0.18410435428547958,7.2,3.3,-0.7939261693953747,0,1,0,0
2012-02-17,2.136981913931773,10.0,4.4,0.11052678977727104,0,1,0,0
2012-02-18,0.5047341511209308,6.7,3.9,3.3804721037091445,0,1,0,0
2012-02-19,-0.4536498564010315,6.7,2.2,1.0149797489499173,0,0,0,1
